path	title	words	flags	first_para
README.md	大模型提示词工程指南	167	volatile,dated,api,code	[![GitHub stars](https://img.shields.io/github/stars/yeasy/prompt_engineering_guide?style=social)](https://github.com/yeasy/prompt_engineering_guide) [![License](https://img.shield
01_introduction/README.md	第一章：提示词工程概述	29		在人工智能技术快速演进的时代，大语言模型（Large Language Models, LLMs）正以前所未有的速度改变着人们与计算机交互的方式。从日常对话助手到专业代码生成，从创意写作到复杂数据分析，这些强大的 AI 系统展现出令人惊叹的能力。然而，释放这些能力的关键，往往不在于模型本身的规模或参数，而在于如何与之有效沟通——这正是提示词工程的核心价值所在
01_introduction/1.1_what_is_prompt_engineering.md	1.1 什么是提示词工程	201	code,diagram	在与大语言模型交互的过程中，**提示词** 是指用户输入给模型的任何文本内容，包括问题、指令、示例、上下文信息或这些元素的组合。提示词是人类意图与 AI 能力之间的桥梁，决定了模型理解任务的方式以及生成输出的方向。
01_introduction/1.2_history.md	1.2 提示词工程的发展历程	257	volatile,dated,api,code,diagram	提示词工程并非一夜之间出现的全新学科，它的演进与自然语言处理技术和大语言模型的发展紧密交织。理解这段发展历程，有助于把握提示词工程的本质特征和未来方向。
01_introduction/1.3_importance_and_scenarios.md	1.3 提示词工程的重要性与应用场景	343	api,code,diagram	在大语言模型技术快速普及的今天，提示词工程已从一项专业技术演变为广泛需求的核心技能。本节将从重要性和应用场景两个维度，全面阐释提示词工程的价值。
01_introduction/summary.md	第一章：提示词工程概述	196	volatile,api,code	本章系统性地介绍了提示词工程的基础概念和宏观框架，为后续深入学习奠定了基础。以下是本章的核心要点回顾：
02_llm_basics/README.md	第二章：大语言模型基础	25		要精通提示词工程，首先需要理解其作用对象——大语言模型（Large Language Models, LLMs）的基本工作原理。正如驾驶员需要了解汽车的基本机械原理才能更好地操控车辆，提示词工程师也需要理解语言模型的运作机制，才能设计出更有效的提示词。
02_llm_basics/2.1_how_llm_works.md	2.1 大语言模型的工作原理	339	volatile,code,diagram	理解大语言模型的工作原理，是掌握提示词工程的重要基础。本节将用相对直观的方式解释这些复杂系统的核心机制，重点关注与提示词设计相关的概念。
02_llm_basics/2.2_major_models.md	2.2 主流大语言模型概览	394	volatile,dated,api,code	当前的大语言模型市场呈现百花齐放的态势，不同模型在能力特点、使用方式和适用场景上各有差异。了解主流模型的特性，有助于根据具体需求选择合适的模型，并针对性地设计提示词。
02_llm_basics/2.3_parameters.md	2.3 模型参数与输出控制	480	code,diagram	除了提示词本身，大语言模型还提供了一系列可调参数来控制输出的特性。理解这些参数的作用，可以更精细地调控模型行为，获得更符合需求的结果。
02_llm_basics/2.4_context_window.md	2.4 上下文窗口与信息处理	391	volatile,api,code	上下文窗口是大语言模型的核心概念之一，直接影响着提示词设计的方方面面。理解上下文窗口的特性，有助于更有效地组织和呈现信息。
02_llm_basics/summary.md	第二章：大语言模型基础	274	volatile,api,code	本章介绍了大语言模型的核心基础知识，这些知识是理解和实践提示词工程的重要支撑。以下是本章的核心要点回顾：
03_prompt_structure/README.md	第三章：提示词的基本结构	25		掌握了大语言模型的基础知识后，本章将进入提示词设计的核心内容——如何构建一个结构良好、表达清晰的提示词。就像写作需要遵循一定的结构和规范，提示词设计也有其内在的逻辑和组成要素。
03_prompt_structure/3.1_core_elements.md	3.1 提示词的核心组成要素	405	code,diagram	一个结构完整的提示词通常由多个核心要素组成，每个要素承担特定的功能。理解这些要素的作用和组织方式，是设计有效提示词的基础。
03_prompt_structure/3.2_instruction_principles.md	3.2 指令设计的基本原则	349	code	指令是提示词的核心部分，决定了模型需要执行什么任务。一个设计良好的指令可以显著提升模型输出的质量和一致性。本节将介绍指令设计的基本原则和实用技巧。
03_prompt_structure/3.3_context.md	3.3 上下文与背景信息的提供	281	volatile,code	上下文是提示词中容易被忽视但至关重要的组成部分。充分且相关的上下文可以帮助模型更准确地理解任务需求，生成更符合预期的输出。本节将探讨如何有效地构建和提供上下文信息。
03_prompt_structure/3.4_output_format.md	3.4 输出格式的定义与约束	485	volatile,code	输出格式的明确定义是提示词工程的重要环节。清晰的格式约束不仅使输出更易于使用和解析，还能提高输出的一致性和可预测性。本节将介绍如何有效地定义和约束模型的输出格式。
03_prompt_structure/3.5_structured_output.md	3.5 结构化输出的定义与约束	271	volatile,api,code	在生产环境中，大语言模型往往不只是作为一个"聊天机器人"存在，而是作为数据处理流水线中的一个节点。为了让下游程序能够解析模型的输出，我们需要模型返回严格的结构化数据（如 JSON、XML 或 YAML），而不是自由格式的自然语言文本。
03_prompt_structure/summary.md	第三章：提示词的基本结构	278	volatile,api,code	本章系统性地介绍了提示词的基本结构，涵盖核心组成要素、指令设计原则、上下文构建和输出格式定义。以下是本章的核心要点回顾：
04_best_practices/README.md	第四章：提示词设计最佳实践	29		掌握了提示词的基本结构后，本章将深入探讨一系列经过验证的最佳实践，这些实践源自主流 AI 厂商的官方指南、研究者的实验发现以及从业者的实战经验。
04_best_practices/4.1_clarity_specificity.md	4.1 清晰性与具体性原则	253	code	清晰性和具体性是有效提示词的两大基石。模型不会"猜测"用户的真实意图，也不会"补全"缺失的信息，它只会按照提示词的字面含义去理解和执行。因此，提示词的表达越清晰、越具体，输出就越接近预期。
04_best_practices/4.2_delimiters.md	4.2 分隔符与结构化表达	398	volatile,code	分隔符和结构化表达是提高提示词可读性和有效性的重要技巧。它们帮助模型更准确地区分指令、上下文、输入数据等不同部分，减少理解偏差。
04_best_practices/4.3_role_setting.md	4.3 角色设定与人格赋予	293	code	角色设定是提示词工程中的一项强大技术，通过为模型定义特定的身份、专业背景和行为准则，可以显著影响输出的风格、深度和适用性。
04_best_practices/4.4_iteration.md	4.4 迭代优化与测试方法	438	dated,code	提示词设计很少一步到位。即使是经验丰富的从业者，也需要通过迭代测试来优化提示词效果。本节将介绍一套系统化的提示词迭代优化方法论。
04_best_practices/4.5_system_prompt_design.md	4.5 System Prompt 系统设计	227	volatile,code	在现代大语言模型（特别是经过 RLHF 对齐的模型）的应用中，提示词被严格划分为三个角色：`system`（系统）、`user`（用户）和 `assistant`（助手）。其中，**System Prompt（系统级提示词）**是控制模型基础行为的最强力手段。
04_best_practices/summary.md	第四章：提示词设计最佳实践	242	volatile,api,code	本章介绍了四项核心的提示词设计最佳实践，这些实践源自主流AI厂商的官方指南和业界的实战经验。以下是本章的核心要点回顾：
05_few_shot/README.md	第五章：少样本学习与示例驱动	22		进入第二部分核心技术篇，本章将介绍提示词工程中最有效的技术之一——少样本学习。这项技术通过在提示词中提供少量示例，引导模型理解任务模式并将其应用到新输入上。
05_few_shot/5.1_zero_shot_few_shot.md	5.1 零样本与少样本提示	334	volatile,code,diagram	在提示词工程中，根据是否提供示例以及示例数量的多少，可以将提示方式分为零样本、单样本和少样本三种类型。这些概念源自 [GPT-3 论文](https://arxiv.org/abs/2005.14165)，理解它们的区别和适用场景，是有效应用示例驱动技术的基础。
05_few_shot/5.2_example_design.md	5.2 示例的选择与设计策略	340	code	少样本学习的效果很大程度上取决于示例的质量。精心设计的示例可以使模型快速理解任务，而不当的示例可能导致误解或偏差。本节将介绍示例选择和设计的关键策略。
05_few_shot/5.3_applications.md	5.3 少样本学习的应用场景	337	code	少样本学习是一种通用性很强的技术，可以应用于各种任务类型。本节将通过具体场景和实例，展示如何在不同任务中应用少样本提示。
05_few_shot/5.4_troubleshooting.md	5.4 常见问题与解决方案	301	code	在应用少样本学习时，可能会遇到各种问题。本节总结常见问题及其解决方案，帮助读者更有效地使用这一技术。
05_few_shot/5.5_practice.md	5.5 本章实战练习	420	api,code	本节提供递进式的练习题，帮助读者巩固少样本学习的知识，并应用到实际场景中。
05_few_shot/summary.md	第五章：少样本学习与示例驱动	206	volatile	本章深入介绍了少样本学习技术，这是提示词工程中最有效且应用最广泛的核心技术之一。以下是本章的核心要点回顾：
06_chain_of_thought/README.md	第六章：思维链与推理增强	30		思维链（Chain-of-Thought, CoT）是提示词工程领域的一项里程碑式技术。2022年，Google研究团队发现，通过在提示词中引导模型展示推理步骤，可以显著提升其在复杂推理任务上的表现。这一发现改变了人们对语言模型能力边界的认识。
06_chain_of_thought/6.1_cot_principles.md	6.1 思维链提示的原理与价值	277	code,diagram	思维链（Chain-of-Thought, CoT）提示是一种通过引导模型展示中间推理步骤来提升复杂任务表现的技术，最早由 [Wei et al. (2022)](https://arxiv.org/abs/2201.11903) 提出。本节将介绍其基本原理、工作机制和应用价值。
06_chain_of_thought/6.2_zero_few_shot_cot.md	6.2 零样本与少样本思维链	297	code	思维链提示可以分为零样本和少样本两种形式。两者各有特点和适用场景，本节将详细介绍它们的方法和应用。
06_chain_of_thought/6.3_self_consistency.md	6.3 自一致性与多路径推理	326	code	标准的思维链提示生成单一的推理路径，但这条路径可能是错误的。由 [Wang et al. (2022)](https://arxiv.org/abs/2203.11171) 提出的自一致性技术，通过生成多条推理路径并进行一致性投票，显著提升了推理的可靠性。
06_chain_of_thought/6.4_tree_of_thought.md	6.4 思维树与高级推理策略	322	code	思维链将推理过程表达为单一的线性链条，而一些更复杂的问题可能需要探索多个分支路径。思维树（Tree of Thoughts, ToT）及其他高级推理策略正是为解决这类问题而设计的。ToT 最初由 [Yao et al. (2023)](https://arxiv.org/abs/2305.10601) 和 [Long (2023)](https://arxi
06_chain_of_thought/6.5_reasoning_models.md	6.5 Reasoning 模型专题：内置推理范式	230	volatile,api,code,diagram	自 2024 年末起，随着 OpenAI o1/o3 系列和 DeepSeek-R1 等 **Reasoning 模型（推理模型）**的问世，大语言模型的推理能力经历了一次范式转换。这深刻地改变了思维链相关的提示词工程最佳实践。
06_chain_of_thought/6.6_practice.md	6.6 本章实战练习	335	code	本节通过递进式的练习，帮助读者掌握思维链（Chain of Thought, CoT）提示的设计与应用。
06_chain_of_thought/summary.md	第六章：思维链与推理增强	205	code	本章深入介绍了思维链及其变体技术，这些技术通过引导模型展示推理过程，显著提升了在复杂任务上的表现。以下是本章的核心要点回顾：
07_prompt_chaining/README.md	第七章：提示词链与任务分解	28		当面对复杂的工作流程时，单个提示词往往无法满足需求。提示词链技术通过将多个提示词调用串联起来，使前一个调用的输出成为后一个调用的输入，从而实现更复杂的自动化任务。
07_prompt_chaining/7.1_task_decomposition.md	7.1 复杂任务的分解艺术	271	code	当任务规模超出单个提示词能够有效处理的范围时，任务分解成为必要的策略。本节将介绍如何识别可分解的任务，以及分解的基本方法和原则。
07_prompt_chaining/7.2_chaining_patterns.md	7.2 提示词链的设计模式	410	code	提示词链的设计模式是经过验证的解决方案模板，可以帮助快速构建可靠的多步骤工作流。本节将介绍几种常用的设计模式。
07_prompt_chaining/7.3_context_passing.md	7.3 上下文传递与状态管理	291	code	在提示词链中，如何有效地在步骤之间传递信息和管理状态是关键的技术挑战。本节将介绍相关的策略和最佳实践。
07_prompt_chaining/7.4_case_study.md	7.4 实战案例：构建多步骤工作流	426	code	本节通过一个完整的实战案例，展示如何设计和实现一个多步骤的提示词链工作流。
07_prompt_chaining/7.5_multi_turn_dialogue.md	7.5 多轮对话管理	165	code,diagram	在传统的单轮提示词工程中，我们将所有指令、背景和问题一次性发送给模型，模型返回结果，任务结束。但在实际应用（如 AI 助手、客服机器人、互动式数据分析）中，**多轮对话**是最常见的交互模式。
07_prompt_chaining/7.6_practice.md	7.6 本章实战练习	116		本节提供递进式的练习题，帮助读者巩固提示词链与任务分解的知识，并在实际场景中应用。
07_prompt_chaining/summary.md	第七章：提示词链与任务分解	208		本章介绍了提示词链技术，通过将复杂任务分解为多个连接的步骤，实现更强大和可控的自动化能力。以下是本章的核心要点回顾：
08_react_tools/README.md	第八章：ReAct与工具使用	27		进入高级应用篇的第一章，我们将探索如何让大语言模型不仅进行推理，还能与外部世界交互。ReAct（Reasoning and Acting）框架将推理与行动相结合，使模型能够调用外部工具、查询数据库、执行代码，从而大大扩展其能力边界。
08_react_tools/8.1_react_framework.md	8.1 ReAct 框架：推理与行动的结合	469	code,diagram	在提示词工程的发展历程中，**ReAct (Reasoning and Acting)** 框架的提出是一个重要的里程碑。它由 [Yao et al. (2022)](https://arxiv.org/abs/2210.03629) 首次提出，核心思想是将大语言模型的 **推理能力**（Reasoning）与 **行动能力**（Acting）有机结合，使模
08_react_tools/8.2_function_calling.md	8.2 函数调用与工具集成	376	volatile,api,code	在 ReAct 框架中，工具的使用是通过**函数调用** 机制实现的。现代大语言模型（如 GPT-5.x、Claude 4.5、Gemini 3.0）都提供了原生的函数调用能力，这使得将 LLM 连接到外部系统变得更加可靠和结构化。本节将深入探讨函数调用的机制、高级模式及最佳实践。
08_react_tools/8.3_external_knowledge.md	8.3 外部知识源的接入	328	dated,code	语言模型的一个主要局限是其知识的**静态性**（知识截止于训练结束那一刻）和 **封闭性**（无法访问私有数据）。为了构建真正实用的 Agent，我们需要让其能够接入外部知识源。本节将深入探讨三种最主要的知识源接入方式：互联网搜索、数据库查询和知识库检索。
08_react_tools/8.4_agent_prompts.md	8.4 Agent 系统的提示词设计	815	code,diagram	构建这一章的最后一块拼图是：如何写出驱动 Agent 的核心提示词。一个优秀的 Agent 系统提示词不仅定义了 Agent 的角色，更是其行为逻辑的"源代码"。本节将提供几种经过生产环境验证的 Agent 提示词模板。
08_react_tools/8.5_practice.md	8.5 本章实战练习	122	api,code	本节提供实战练习，帮助读者掌握 ReAct 框架和函数调用的实际编写技巧。
08_react_tools/summary.md	第八章：ReAct与工具使用	55		本章介绍了ReAct框架和工具使用技术，这些技术使语言模型能够与外部世界交互，大大扩展了其应用能力。
09_rag/README.md	第九章：检索增强生成	25		检索增强生成（Retrieval-Augmented Generation, RAG）是将信息检索与语言生成结合的技术，通过在生成时动态检索相关知识，使模型能够给出更准确、更有依据的回答。RAG是当前企业级AI应用的核心架构之一。
09_rag/9.1_rag_principles.md	9.1 RAG 系统的核心原理	231	volatile,api,code,diagram	检索增强生成（Retrieval-Augmented Generation, RAG）是由 [Lewis et al. (2020)](https://arxiv.org/abs/2005.11401) 提出的架构，它已成为解决大语言模型"幻觉"和"知识过时"问题的标准解决方案。本节将深入剖析 RAG 的核心架构及其演进。
09_rag/9.2_retrieval_strategies.md	9.2 高级检索策略与上下文组装	338	volatile	在 RAG 系统中，"检索"的质量决定了最终效果的上限。如果你给 LLM 提供了错误的上下文，再强大的模型也无法生成正确的答案。本节将深入探讨提升检索质量的关键策略。
09_rag/9.3_rag_prompt_optimization.md	9.3 RAG 系统的提示词优化	372	volatile,code	在 RAG 系统中，Retrieval 负责"找对资料"，而 Prompt Engineering 负责"用好资料"。一个设计低劣的提示词会让高质量的检索结果付诸东流。本节将深入探讨 RAG 专用的提示词设计模式。
09_rag/9.4_advanced_rag.md	9.4 高级 RAG 架构与前沿趋势	314	volatile,api,code,diagram	随着 RAG 技术的成熟，简单的"Retrieve-Then-Read"管道已难以满足复杂场景的需求。本节将介绍几种代表当前最前沿水平的高级 RAG 架构。
09_rag/9.5_practice.md	9.5 本章实战练习	105	dated,code	本节提供实战练习，帮助读者掌握如何针对 RAG（检索增强生成）系统优化提示词。
09_rag/summary.md	第九章：检索增强生成	42		本章介绍了RAG技术，这是将检索与生成结合的关键架构。
10_multimodal/README.md	第十章：多模态提示工程	23		多模态AI模型可以理解和处理文本、图像、音频、视频等多种形式的输入。本章将介绍如何设计有效的多模态提示词，充分发挥这些模型的能力。
10_multimodal/10.1_multimodal_overview.md	10.1 多模态模型概述	250	volatile,api,code	多模态大语言模型代表了人工智能发展的重要里程碑。与传统的纯文本模型不同，多模态模型能够同时理解和处理多种类型的数据，包括文本、图像、音频和视频，从而实现更自然、更接近人类认知方式的智能交互。
10_multimodal/10.2_image_prompting.md	10.2 图像理解与视觉提示	278	volatile,api,code	图像理解是多模态模型最成熟且应用最广泛的能力。GPT-4V、Claude 3、Gemini 等主流模型都展现出强大的视觉分析能力。本节将深入探讨图像提示的设计方法和最佳实践。
10_multimodal/10.3_audio_video.md	10.3 音频与视频处理	386	volatile,api,code	随着 GPT-4o、Gemini 2.0 等模型的发布，音频和视频理解能力正在成为多模态 AI 的重要组成部分。与静态图像不同，音视频处理需要考虑时间维度，这对提示设计提出了新的要求。
10_multimodal/10.4_cross_modal_reasoning.md	10.4 跨模态推理与融合	328	code	跨模态推理是多模态 AI 的核心能力之一，指综合利用来自不同模态（文本、图像、音频等）的信息进行分析、验证和推理。与单模态处理相比，跨模态推理能够挖掘不同信息源之间的关联、互补和矛盾，从而得出更全面、更可靠的结论。
10_multimodal/10.5_practice.md	10.5 本章实战练习	91		本节提供实战练习，帮助读者掌握多模态模型（视觉、音频分析）的提示词设计。
10_multimodal/summary.md	第十章：多模态提示工程	37	volatile,api	本章介绍了多模态提示工程的核心技术。
11_safety_reliability/README.md	第十一章：安全性与可靠性	20		随着大语言模型应用的普及，安全性和可靠性问题日益重要。本章将探讨提示词注入防护、幻觉问题解决、偏见识别以及企业级安全架构设计等关键话题。
11_safety_reliability/11.1_prompt_injection.md	11.1 提示词注入与防护策略	486	code,diagram	提示词注入是大语言模型应用面临的重要安全威胁，攻击者通过精心构造的输入试图操控模型行为。本节深入探讨各类注入攻击及其防护策略。
11_safety_reliability/11.2_hallucination.md	11.2 幻觉问题与事实性保障	521	code,diagram	幻觉是指模型生成看似合理但实际错误或虚构的信息。这是大语言模型最具挑战性的问题之一，严重影响 AI 应用的可信度。本节深入探讨幻觉的成因、类型、检测方法和缓解策略。
11_safety_reliability/11.3_bias_fairness.md	11.3 偏见识别与公平性考量	292	code	大语言模型从海量互联网文本中学习，不可避免地继承了训练数据中存在的各类偏见。这些偏见可能表现为对某些群体的刻板印象、不平等对待或歧视性输出。在企业应用中，偏见问题不仅是伦理问题，更可能带来法律风险和品牌损失。本节探讨如何识别、测试和缓解 AI 系统中的偏见问题。
11_safety_reliability/11.4_enterprise_security.md	11.4 企业级安全架构设计	628	volatile,api,code,diagram	企业部署大语言模型应用面临独特的安全挑战：既要释放 AI 的生产力潜能，又要保护敏感数据、满足合规要求、防范滥用风险。本节从架构设计角度，系统介绍企业级 AI 应用的安全体系建设。
11_safety_reliability/11.5_practice.md	11.5 本章实战练习	308	code	本节通过红蓝对抗的形式，帮助读者理解提示词安全攻防的实战技巧。
11_safety_reliability/summary.md	第十一章：安全性与可靠性	28		本章探讨了AI应用的安全性和可靠性问题。
12_automated_pe/README.md	第十二章：自动化提示词工程	23		随着AI应用规模的扩大，手动设计和优化提示词变得越来越难以维持。本章将介绍自动化提示词生成、优化工具和运维实践，帮助读者构建可扩展的提示词管理体系。
12_automated_pe/12.1_auto_generation.md	12.1 自动化提示词生成技术	422	api,code,diagram	随着大语言模型应用的规模化发展，人工设计和优化提示词的成本成为瓶颈。自动化提示词生成技术应运而生，它让机器参与到提示词的设计、生成和优化过程中，显著提升效率并发现人工难以想到的优化方案。
12_automated_pe/12.2_optimization_tools.md	12.2 提示词优化与调优工具	541	volatile,api,code,diagram	工具化是提示词工程从"手工艺"走向"工程化"的关键一步。本节介绍主流的提示词管理、优化和调试工具，帮助开发者建立系统化的提示词开发流程。
12_automated_pe/12.3_evaluation.md	12.3 评估体系与质量度量	843	volatile,dated,code,diagram	系统化的评估是提示词工程质量保障的基础。一个好的提示词不仅要能完成任务，还需要在准确性、一致性、效率等多个维度上表现出色。本节深入探讨如何建立完整的提示词评估体系。
12_automated_pe/12.4_promptops.md	12.4 PromptOps：提示词运维实践	786	volatile,dated,code,diagram	随着企业 AI 应用的规模化，提示词管理面临与传统软件相似的运维挑战：如何保证稳定性、如何安全发布、如何持续优化。PromptOps 借鉴 DevOps 理念，将软件工程最佳实践引入提示词生命周期管理，形成系统化的运维方法论。
12_automated_pe/12.5_practice.md	12.5 本章实战练习	136	volatile	本节提供实战练习，帮助读者体验从手动调试迈向自动化提示词工程（Automated Prompt Engineering, APE）的过程。
12_automated_pe/summary.md	第十二章：自动化提示词工程	41		本章介绍了提示词工程的自动化实践。
13_platform_specific/README.md	第十三章：平台特定策略	32	volatile,api	不同的AI模型平台有各自的特点和最佳实践。本章将介绍针对OpenAI GPT、Anthropic Claude、Google Gemini以及开源模型的平台特定提示词策略。
13_platform_specific/13.1_openai_gpt.md	13.1 OpenAI GPT 系列最佳实践	533	volatile,dated,api,code,diagram	OpenAI 是大语言模型商业化的先驱，其 GPT 系列是应用最广泛的语言模型。本节深入介绍针对 GPT 系列的提示词优化策略，涵盖从 GPT-4.5 Turbo 到最新的 GPT-5.x 推理模型。
13_platform_specific/13.2_anthropic_claude.md	13.2 Anthropic Claude 提示技巧	496	volatile,dated,api,code,diagram	Anthropic 的 Claude 系列以卓越的安全性、超长上下文窗口和独特的提示词技术著称。本节深入介绍 Claude 的核心特性和针对性的提示词优化策略。
13_platform_specific/13.3_google_gemini.md	13.3 Google Gemini 提示策略	471	volatile,api,code,diagram	Google 的 Gemini 是从设计之初就采用原生多模态架构的大语言模型系列。本节深入介绍 Gemini 的核心特性和针对性的提示词优化策略。
13_platform_specific/13.4_open_source.md	13.4 开源模型的提示词适配	491	volatile,api,code,diagram	开源大语言模型如 Llama、Qwen、DeepSeek 等提供了本地部署的灵活性和数据隐私保障。本节深入介绍开源模型的特点和提示词适配策略。
13_platform_specific/13.5_cross_platform_strategy.md	13.5 跨模型提示词策略 (Cross-Platform Strategy)	484	volatile,api,code,diagram	随着企业级 AI 应用的普及，开发者常面临一个棘手的工程问题：**提示词是否应该绑定到特定模型？**
13_platform_specific/13.6_practice.md	13.6 本章实战练习	138	volatile,api,code	本节提供实战练习，帮助读者掌握基于不同大模型平台制定针对性提示词策略的技巧。
13_platform_specific/summary.md	第十三章：平台特定策略	73	volatile,api	本章介绍了不同AI平台的特定提示词策略。
14_future/README.md	第十四章：未来趋势与展望	20		作为本书的最后一章，我们将展望提示词工程的未来发展方向，包括从提示词工程到上下文工程的演进、多Agent协作、职业发展以及行业应用案例。
14_future/14.1_context_engineering.md	14.1 从提示词工程到上下文工程	656	volatile,api,code,diagram	随着 AI 应用复杂度的增加，业界正在经历从"提示词工程"向"上下文工程"的范式演进。这一转变反映了对 AI 系统整体架构设计的更高层次思考。
14_future/14.2_multi_agent.md	14.2 多 Agent 协作与编排	835	volatile,code,diagram	多 Agent 系统是 AI 应用的重要发展方向，通过让多个专业化 Agent 分工协作，可以解决单一 Agent 难以处理的复杂任务。本节深入探讨多 Agent 架构设计、协作模式和提示词策略。
14_future/14.3_career.md	14.3 提示词工程的职业发展	437	volatile,api,code,diagram	提示词工程已成为一个新兴的专业领域，催生了相关的职业机会和技能需求。本节探讨提示词工程师的职业路径、核心技能和发展方向。
14_future/14.4_industry_cases.md	14.4 行业应用案例与最佳实践	577	code,diagram	提示词工程在各行各业都有广泛应用。本节通过深入的行业案例，展示提示词技术如何在实际场景中创造价值。
14_future/summary.md	第十四章：未来趋势与展望	159	volatile,api	本章展望了提示词工程的未来发展方向。
appendix/a_templates.md	附录A：常用提示词模板库	381	code	本附录收集了各种常见场景的提示词模板，可以直接使用或根据需求调整。
appendix/b_glossary.md	附录B：术语表	198		本附录收录了提示词工程和大语言模型领域的常用术语及其解释。
appendix/c_resources.md	附录C：资源、工具与参考文献	473	volatile,api,code	本附录汇总了全书中引用的重要论文、官方文档及业界优秀的开源实践库，同时推荐学习提示词工程的优质资源和实用工具，供读者进行更深入的拓展学习。
appendix/d_taxonomy_index.md	附录D：提示词技术分类索引	351	code,diagram	提示词工程经过数年的快速发展，已经演变出多种多样的技术和方法。为了更好地理解和应用这些技术，我们需要建立一个清晰的分类体系。本节基于最新的综述研究 [Mizrahi et al. (2024)](https://arxiv.org/abs/2402.07927)，介绍大语言模型提示词技术的系统化分类。
appendix/e_anti_patterns.md	附录 E：提示词常见反模式与排错指南	182	code	在长期的提示词工程实践中，开发者们总结出了一些普遍存在的"错误做法"。我们称之为**反模式**。使用反模式虽然也能让大模型输出结果，但往往会带来不稳定性、冗余或过高的成本。